job_title,company,growth_rate,average_salary,entry_salary,mid_salary,senior_salary,skills_required,industry
Software Engineer,TechCorp Solutions,15,110000,75000,110000,160000,"python, javascript, react, git",Technology
Senior Software Engineer,Innovate Labs,12,145000,115000,145000,195000,"javascript, react, node.js, system architecture",Technology
Data Scientist,DataMetrics LLC,22,120000,85000,120000,175000,"python, sql, machine learning, statistics",Data & Analytics
Machine Learning Engineer,NeuralNet Labs,25,135000,95000,135000,190000,"python, machine learning, pytorch, pandas",Technology
UI/UX Designer,Creative Studio,10,90000,60000,90000,130000,"figma, wireframing, prototyping, user research",Design & Media
Lead Designer,Apex Brands,8,120000,85000,120000,160000,"figma, design systems, interaction design, leadership",Design & Media
DevOps Engineer,CloudScale Networks,18,125000,85000,125000,180000,"aws, docker, kubernetes, linux, cicd",Technology / Cloud
Site Reliability Engineer,ScaleOps Inc,16,135000,90000,135000,190000,"kubernetes, linux, network protocols, automation",Technology
Product Manager,Alpha Products,11,115000,75000,115000,165000,"agile, product roadmap, market research",Business & Product
Cybersecurity Analyst,SecureNet Security,28,105000,70000,105000,150000,"networking, firewalls, threat detection, security audit",Cybersecurity
Database Administrator,InfoVault Systems,5,95000,65000,95000,135000,"sql, mysql, postgresql, performance tuning",Database Services
Digital Marketing Manager,GrowthFlow Media,9,85000,55000,85000,120000,"seo, sem, google analytics, content marketing",Marketing & Growth
Senior Software Engineer,Innovate Corp,14,145732,113890,145732,188887,"javascript, react, node.js, system architecture",Technology
Site Reliability Engineer,ScaleOps Global,17,139941,88557,139941,186971,"kubernetes, linux, network protocols, automation",Technology
Machine Learning Engineer,NeuralNet Inc,28,137623,92549,137623,182635,"python, machine learning, pytorch, pandas",Technology
Database Administrator,InfoVault Partners,6,90064,67163,90064,135573,"sql, mysql, postgresql, performance tuning",Database Services
Software Engineer,TechCorp Inc,18,110916,74148,110916,161445,"python, javascript, react, git",Technology
Database Administrator,InfoVault Partners,6,92125,63982,92125,142501,"sql, mysql, postgresql, performance tuning",Database Services
Lead Designer,Apex Partners,11,117447,82786,117447,160070,"figma, design systems, interaction design, leadership",Design & Media
Machine Learning Engineer,NeuralNet Global,26,138976,97329,138976,190287,"python, machine learning, pytorch, pandas",Technology
UI/UX Designer,Creative Global,13,92266,58736,92266,134354,"figma, wireframing, prototyping, user research",Design & Media
