interests,skills,personality,career_path
"system performance, data structure","postgresql, performance tuning, sql, backup recovery","logical, organized",Database Administrator
"organizing, leadership, collaboration, business strategy","product roadmap, analytics, scrum","communicative, adaptable, decisive",Product Manager
"privacy, networking, security, investigation","security audit, cryptography, penetration testing","analytical, detail-oriented, vigilant",Cybersecurity Specialist
"investigation, privacy","security audit, cryptography, linux, networking","skeptical, vigilant, analytical",Cybersecurity Specialist
"problem solving, open source, web apps, technology","git, node.js, python","logical, detail-oriented",Software Engineer
"investigation, privacy, networking, security","penetration testing, security audit, cryptography, networking","skeptical, detail-oriented, analytical",Cybersecurity Specialist
"collaboration, business strategy","scrum, product roadmap, communication, backup recovery","leader, decisive, adaptable",Product Manager
"leadership, user feedback, collaboration, organizing","communication, market research, product roadmap, mysql","leader, adaptable, decisive",Product Manager
"system performance, optimization","performance tuning, postgresql, sql, mysql, data visualization","logical, organized",Database Administrator
"problem solving, technology","algorithms, javascript, node.js, git, python","logical, problem solver, analytical",Software Engineer
"open source, coding","algorithms, javascript, git","problem solver, analytical, logical",Software Engineer
"problem solving, coding, web apps, technology","git, data structures, javascript, node.js","logical, problem solver, analytical",Software Engineer
"collaboration, business strategy","analytics, market research, communication","adaptable, leader",Product Manager
"system administration, networking","bash, jenkins, linux","logical, systematic",DevOps Engineer
"automation, networking, system administration","docker, linux, aws, kubernetes, machine learning","organized, pragmatic, logical",DevOps Engineer
"organization, optimization","backup recovery, mysql, postgresql, database design","organized, meticulous, logical",Database Administrator
"data structure, organization, system performance, optimization","mysql, postgresql, backup recovery, performance tuning, database design, data visualization","organized, logical",Database Administrator
"networking, cloud computing, automation","bash, cicd, docker","logical, organized, pragmatic",DevOps Engineer
"user feedback, organizing, leadership, collaboration","product roadmap, market research, scrum, agile, communication","adaptable, communicative",Product Manager
"system performance, optimization, organization, data structure","backup recovery, postgresql, sql, database design, mysql","logical, organized, patient",Database Administrator
"networking, cloud computing, system administration, automation","kubernetes, linux, cicd, jenkins","pragmatic, systematic, organized",DevOps Engineer
"data structure, organization","backup recovery, sql, performance tuning, mysql","patient, meticulous",Database Administrator
"hacking, investigation","cryptography, penetration testing, firewalls, security audit","analytical, detail-oriented, skeptical",Cybersecurity Specialist
"system administration, cloud computing, networking, automation","kubernetes, cicd, jenkins, bash, aws","logical, organized",DevOps Engineer
"socializing, trends","sem, copywriting, content marketing, google analytics","creative, dynamic, persuasive",Digital Marketer
"user feedback, collaboration","agile, communication, scrum, market research","leader, communicative",Product Manager
"networking, investigation","penetration testing, networking, security audit, linux","skeptical, analytical",Cybersecurity Specialist
"coding, technology","algorithms, react, data structures, python, node.js","problem solver, analytical",Software Engineer
"data structure, optimization, organization","performance tuning, backup recovery, postgresql","patient, meticulous",Database Administrator
"trends, advertising, socializing","social media, seo, google analytics, copywriting, sem","outgoing, dynamic",Digital Marketer
"security, investigation, hacking","networking, security audit, penetration testing","analytical, skeptical",Cybersecurity Specialist
"networking, cloud computing, system administration","docker, bash, linux, jenkins","pragmatic, logical, systematic",DevOps Engineer
"design, drawing, art","interaction design, figma, wireframing, prototyping, user research","observant, creative",UI/UX Designer
"art, human behavior, design, psychology","wireframing, figma, sketch","empathetic, visual, creative",UI/UX Designer
"hacking, investigation","networking, linux, cryptography","detail-oriented, vigilant",Cybersecurity Specialist
"organizing, user feedback, collaboration, business strategy","agile, scrum, product roadmap","decisive, communicative",Product Manager
"trends, advertising, behavioral psychology, writing","sem, copywriting, google analytics","creative, dynamic",Digital Marketer
